id,student_id,start_verse_id,end_verse_id,pillar_id,teacher_id,date_of,calculated_letters_count,calculated_pages_count
2663,725,6231,6234,2,766,11/29/2023,66,0.256809
2664,725,6231,6225,3,766,11/29/2023,257,1.000001
2665,725,6177,6170,2,766,12/3/2023,138,0.362073
2774,728,3661,3665,2,766,11/29/2023,378,0.691162
2775,728,6231,6225,3,766,11/29/2023,257,1.000001
2776,728,3746,3759,3,766,12/4/2023,563,1.000001
2777,728,3760,3775,3,766,12/5/2023,536,0.999999
2778,728,3776,3788,3,766,12/6/2023,505,1
2779,728,3666,3671,2,766,12/12/2023,510,0.827922
2780,728,3661,3665,4,766,12/12/2023,378,0.691162
2781,728,3661,3669,3,766,12/12/2023,665,1.157071
2782,728,3670,3674,3,766,12/13/2023,546,0.950356
2783,728,3666,3671,4,766,12/13/2023,510,0.827922
2784,728,3672,3675,2,766,12/13/2023,370,0.673953
2785,728,3676,3685,2,766,12/19/2023,423,0.764897
2786,728,3672,3675,4,766,12/19/2023,370,0.673953
2787,728,3675,3687,3,766,12/19/2023,591,1.068133
2788,728,3686,3691,2,766,12/25/2023,377,0.680418
2789,728,3688,3698,3,766,12/25/2023,736,1.343525
2790,728,3692,3606,2,766,12/26/2023,10619,18.56416
2791,728,3661,3669,3,766,12/26/2023,665,1.157071
2792,728,3686,3691,4,766,1/1/2024,377,0.680418
2793,728,3534,3539,3,766,1/1/2024,545,1
2794,728,3686,3691,4,766,1/3/2024,377,0.680418
2795,728,3534,3539,3,766,1/3/2024,545,1
2796,728,3686,3691,4,766,1/17/2024,377,0.680418
2797,728,3534,3539,3,766,1/17/2024,545,1
2798,728,3686,3691,4,766,1/21/2024,377,0.680418
2799,728,3534,3539,3,766,1/21/2024,545,1
2800,728,3686,3691,4,766,1/22/2024,377,0.680418
2801,728,3540,3548,3,766,1/22/2024,610,1
2802,728,3686,3691,4,766,1/23/2024,377,0.680418
2803,728,3549,3555,3,766,1/23/2024,612,1
2804,728,3686,3691,4,766,1/24/2024,377,0.680418
2805,728,3556,3563,3,766,1/24/2024,571,1.000001
2806,728,3686,3691,4,766,1/29/2024,377,0.680418
2807,728,3534,3539,3,766,1/29/2024,545,1
2808,728,3686,3691,4,766,1/30/2024,377,0.680418
2809,728,3540,3548,3,766,1/30/2024,610,1
2810,728,3686,3691,4,766,1/31/2024,377,0.680418
2811,728,3549,3555,3,766,1/31/2024,612,1
2812,728,3686,3691,4,766,2/4/2024,377,0.680418
2813,728,3534,3539,3,766,2/4/2024,545,1
2814,728,3686,3691,4,766,2/5/2024,377,0.680418
2815,728,3540,3548,3,766,2/5/2024,610,1
2816,728,3686,3691,4,766,2/6/2024,377,0.680418
2817,728,3549,3555,3,766,2/6/2024,612,1
2818,728,3686,3691,4,766,3/5/2024,377,0.680418
2819,728,3534,3539,3,766,3/5/2024,545,1
2820,728,3686,3691,4,766,3/6/2024,377,0.680418
2821,728,3540,3548,3,766,3/6/2024,610,1
2822,728,3686,3691,4,766,3/7/2024,377,0.680418
2823,728,3549,3555,3,766,3/7/2024,612,1
2824,728,3686,3691,4,766,3/10/2024,377,0.680418
2825,728,3540,3548,3,766,3/10/2024,610,1
2826,728,3686,3691,4,766,3/19/2024,377,0.680418
2827,728,3607,3613,3,766,3/19/2024,500,1
3028,731,3789,3807,3,766,8/21/2024,444,0.766839
3029,731,3808,3827,3,766,8/26/2024,503,0.865462
3030,731,3828,3839,3,766,8/27/2024,214,0.367697
3031,731,3840,3849,3,766,8/28/2024,215,0.388789
3032,731,3850,3890,3,766,9/1/2024,919,1.611209
3033,731,3890,3910,2,766,9/2/2024,545,1.005453
3034,731,5759,5672,3,766,9/2/2024,3050,5.608166
3035,731,3911,3932,2,766,9/3/2024,424,0.784742
3036,731,3890,3910,4,766,9/3/2024,545,1.005453
3037,731,5592,5551,3,766,9/3/2024,2855,4.883655
3038,731,3933,3959,2,766,9/4/2024,554,1.016285
3039,731,3911,3932,4,766,9/4/2024,424,0.784742
3040,731,5476,5475,3,766,9/4/2024,2001,3.56822
3041,731,3789,3970,2,766,9/5/2024,3918,6.99999
3042,731,3933,3959,4,766,9/5/2024,554,1.016285
3043,731,5420,5433,3,766,9/5/2024,478,0.870726
3044,731,3706,3720,2,766,9/8/2024,532,1.069729
3045,731,3789,3970,4,766,9/8/2024,3918,6.99999
3046,731,5434,5447,3,766,9/8/2024,506,0.836364
3047,731,3815,3970,2,766,9/9/2024,3308,5.946726
3048,731,3789,3814,4,766,9/9/2024,610,1.053264
3049,731,5376,5401,3,766,9/9/2024,476,0.830089
3050,731,3706,3720,2,766,9/11/2024,532,1.069729
3051,731,3815,3970,4,766,9/11/2024,3308,5.946726
3052,731,5402,5419,3,766,9/11/2024,514,0.860479
3053,731,3721,3727,2,766,9/15/2024,250,0.453722
3054,731,3706,3720,4,766,9/15/2024,532,1.069729
3055,731,5324,5341,3,766,9/15/2024,488,0.812399
3056,731,3728,3742,2,766,9/16/2024,567,1.030411
3057,731,3721,3727,4,766,9/16/2024,250,0.453722
3058,731,5342,5375,3,766,9/16/2024,664,1.157026
3059,731,3738,3745,2,766,9/17/2024,358,0.65091
3060,731,3728,3742,4,766,9/17/2024,567,1.030411
3061,731,5242,5271,3,766,9/17/2024,1366,2.394838
3062,731,3746,3755,2,766,9/18/2024,390,0.692718
3063,731,3738,3745,4,766,9/18/2024,358,0.65091
3064,731,5230,5236,3,766,9/18/2024,571,1.000001
3578,738,6009,6019,2,766,11/29/2023,257,0.520794
3579,738,5994,6008,4,766,11/29/2023,282,0.560637
3580,738,6024,6043,3,766,11/29/2023,361,0.757963
3581,738,6020,5979,2,766,12/3/2023,249,0.515055
3582,738,6009,6019,4,766,12/3/2023,257,0.520794
3583,738,6044,6079,3,766,12/3/2023,605,1.357802
3665,740,5076,5082,2,766,11/29/2023,438,0.750999
3666,740,6231,6225,3,766,11/29/2023,257,1.000001
3667,740,4631,4640,2,766,12/3/2023,363,0.696736
3668,740,4641,4652,2,766,12/4/2023,403,0.708222
3669,740,4631,4640,4,766,12/4/2023,363,0.696736
3670,740,6231,6225,3,766,12/4/2023,257,1.000001
3671,740,4653,4666,2,766,12/5/2023,414,0.703257
3672,740,4641,4652,4,766,12/5/2023,403,0.708222
3673,740,6217,6213,3,766,12/5/2023,317,1.000002
3674,740,4667,4675,2,766,12/6/2023,346,0.693384
3675,740,4653,4666,4,766,12/6/2023,414,0.703257
3676,740,6205,6197,3,766,12/6/2023,291,1.000001
3677,740,4613,4625,2,766,12/10/2023,1159,1.906596
3678,740,4667,4675,4,766,12/10/2023,346,0.693384
3679,740,6189,6179,3,766,12/10/2023,361,0.999998
3680,740,4626,4584,2,766,12/12/2023,431,0.709788
3681,740,4626,4584,4,766,12/13/2023,431,0.709788
3682,740,6169,6157,3,766,12/13/2023,509,1.178572
3683,740,4585,4589,2,766,12/13/2023,383,0.713222
3684,740,4590,4595,2,766,12/19/2023,457,0.797926
3685,740,4585,4589,4,766,12/19/2023,383,0.713222
3686,740,6139,6138,3,766,12/19/2023,600,1.303757
3687,740,4596,4600,2,766,12/20/2023,479,0.814028
3688,740,4590,4595,4,766,12/20/2023,457,0.797926
3689,740,6126,6125,3,766,12/20/2023,441,0.945287
3690,740,4601,4607,2,766,12/24/2023,434,0.740102
3691,740,4596,4600,4,766,12/24/2023,479,0.814028
3692,740,6099,6090,3,766,12/24/2023,486,1.116326
3693,740,4608,4612,2,766,12/26/2023,738,1.318337
3694,740,4601,4607,4,766,12/26/2023,434,0.740102
3695,740,4727,4735,3,766,12/26/2023,269,0.550105
3696,740,4546,4552,2,766,12/27/2023,466,0.716922
3697,740,4608,4612,4,766,12/27/2023,738,1.318337
3698,740,4631,4645,3,766,12/27/2023,521,0.999999
3699,740,4553,4560,2,766,1/2/2024,566,0.865394
3700,740,4546,4552,4,766,1/2/2024,466,0.716922
3701,740,4646,4665,3,766,1/2/2024,605,1
3702,740,4561,4566,2,766,1/3/2024,439,0.724944
3703,740,4553,4560,4,766,1/3/2024,566,0.865394
3704,740,4666,4675,3,766,1/3/2024,400,0.8016
3705,740,4567,4574,2,766,1/14/2024,372,0.692737
3706,740,4561,4566,4,766,1/14/2024,439,0.724944
3707,740,4613,4622,3,766,1/14/2024,778,1.296404
3708,740,4567,4574,4,766,1/16/2024,372,0.692737
3709,740,4623,4630,3,766,1/16/2024,774,1.249216
3710,740,4575,4581,2,766,1/21/2024,435,0.726211
3711,740,4567,4574,4,766,1/21/2024,372,0.692737
3712,740,4584,4592,3,766,1/21/2024,537,1.000001
3713,740,4582,4514,2,766,1/23/2024,392,0.687584
3714,740,4575,4581,4,766,1/23/2024,435,0.726211
3715,740,4593,4598,3,766,1/23/2024,586,1
3716,740,4515,4520,2,766,1/29/2024,436,0.718094
3717,740,4582,4514,4,766,1/29/2024,392,0.687584
3718,740,4599,4606,3,766,1/29/2024,591,0.999999
3719,740,4521,4525,2,766,1/30/2024,439,0.706857
3720,740,4515,4520,4,766,1/30/2024,436,0.718094
3721,740,4607,4612,3,766,1/30/2024,815,1.454379
3722,740,4526,4530,2,766,3/5/2024,432,0.6912
3723,740,4521,4525,4,766,3/5/2024,439,0.706857
3724,740,4546,4556,3,766,3/5/2024,650,0.999999
3725,740,4531,4536,2,766,3/6/2024,477,0.798995
3726,740,4526,4530,4,766,3/6/2024,432,0.6912
3727,740,4557,4564,3,766,3/6/2024,656,0.999999
3728,740,4531,4536,4,766,3/10/2024,477,0.798995
3729,740,4565,4574,3,766,3/10/2024,537,0.999999
3730,740,4537,4542,2,766,3/11/2024,403,0.711835
3731,740,4531,4536,4,766,3/11/2024,477,0.798995
3732,740,4575,4583,3,766,3/11/2024,599,1.000001
3733,740,4543,4545,2,766,3/12/2024,271,0.48917
3734,740,4537,4542,4,766,3/12/2024,403,0.711835
3735,740,4511,4524,3,766,3/12/2024,910,1.529945
3736,740,4537,4542,4,766,3/13/2024,403,0.711835
3737,740,4525,4530,3,766,3/13/2024,625,1
3738,740,4537,4542,4,766,3/17/2024,403,0.711835
3739,740,6217,6213,3,766,3/17/2024,317,1.000002
3740,740,4537,4542,4,766,3/19/2024,403,0.711835
3741,740,6189,6179,3,766,3/19/2024,361,0.999998
3742,740,4537,4542,4,766,3/20/2024,403,0.711835
3743,740,6169,6157,3,766,3/20/2024,509,1.178572
3744,740,4537,4542,4,766,3/21/2024,403,0.711835
3745,740,6139,6138,3,766,3/21/2024,600,1.303757
3746,740,4543,4545,4,766,3/24/2024,271,0.48917
3747,740,6059,6058,3,766,3/24/2024,605,1.357802
3748,740,4543,4545,4,766,3/25/2024,271,0.48917
3749,740,6024,6043,3,766,3/25/2024,361,0.757963
3750,740,4543,4545,4,766,3/26/2024,271,0.48917
3751,740,5994,6023,3,766,3/26/2024,603,1.215043
3752,740,4543,4545,4,766,4/17/2024,271,0.48917
3753,740,5461,5475,3,766,4/17/2024,584,1
3754,740,4543,4545,4,766,4/18/2024,271,0.48917
3755,740,5420,5433,3,766,4/18/2024,478,0.870726
3756,740,4543,4545,4,766,4/21/2024,271,0.48917
3757,740,5402,5419,3,766,4/21/2024,514,0.860479
3758,740,4543,4545,4,766,4/22/2024,271,0.48917
3759,740,5324,5341,3,766,4/22/2024,488,0.812399
3760,740,4543,4545,4,766,4/28/2024,271,0.48917
3761,740,5230,5236,3,766,4/28/2024,571,1.000001
3762,740,4543,4545,4,766,4/29/2024,271,0.48917
3763,740,5237,5241,3,766,4/29/2024,553,1.000001
3764,740,4543,4545,4,766,5/7/2024,271,0.48917
3765,740,5170,5177,3,766,5/7/2024,581,0.818309
3766,740,4543,4545,4,766,5/8/2024,271,0.48917
3767,740,5151,5157,3,766,5/8/2024,782,1.199999
3768,740,4543,4545,4,766,5/12/2024,271,0.48917
3769,740,5140,5150,3,766,5/12/2024,730,1.371887
3770,740,4543,4545,4,766,5/15/2024,271,0.48917
3771,740,5118,5126,3,766,5/15/2024,657,1.096631
3772,740,4543,4545,4,766,5/19/2024,271,0.48917
3773,740,5100,5104,3,766,5/19/2024,582,1
3774,740,4543,4545,4,766,5/20/2024,271,0.48917
3775,740,4980,5019,3,766,5/20/2024,626,1.22584
3776,740,4543,4545,4,766,5/22/2024,271,0.48917
3777,740,5047,5075,3,766,5/22/2024,580,1.097497
3834,741,3534,3548,3,766,11/29/2023,1155,2
3835,741,4059,4063,3,766,11/30/2023,387,0.764823
3836,741,4064,4068,3,766,12/3/2023,586,1
3837,741,4069,4079,3,766,12/5/2023,615,0.999999
3838,741,4080,4089,3,766,12/7/2023,568,1
3839,741,4090,4098,3,766,12/10/2023,501,0.999997
3840,741,4099,4105,3,766,12/11/2023,535,1
3841,741,4106,4114,3,766,12/12/2023,548,1
3842,741,4115,4125,3,766,1/2/2024,525,0.999999
3843,741,4126,4133,3,766,1/3/2024,623,1.153083
3844,741,4134,4140,3,766,1/4/2024,426,0.846919
3845,741,4141,4149,3,766,1/14/2024,535,0.999999
3846,741,4150,4158,3,766,1/15/2024,538,1.000001
3847,741,4159,4166,3,766,1/16/2024,539,1.000001
3848,741,4167,4173,3,766,1/17/2024,505,1
3849,741,4174,4182,3,766,1/18/2024,521,1
3850,741,4183,4191,3,766,1/21/2024,501,0.999999
3851,741,4192,4199,3,766,1/22/2024,488,1.000001
3852,741,4200,4210,3,766,1/23/2024,529,1
3853,741,4211,4218,3,766,1/24/2024,545,1
3854,741,3534,3539,3,766,1/24/2024,545,1
3855,741,3540,3548,3,766,1/25/2024,610,1
3856,741,3549,3555,3,766,1/30/2024,612,1
3857,741,3556,3563,3,766,1/31/2024,571,1.000001
3858,741,3564,3568,3,766,2/1/2024,546,1
3859,741,3569,3576,3,766,2/4/2024,606,1
3860,741,3577,3583,3,766,2/5/2024,563,1.000001
3861,741,3584,3587,3,766,2/6/2024,555,1
3862,741,3588,3595,3,766,2/7/2024,582,0.999999
3863,741,3534,3548,3,766,2/8/2024,1155,2
3864,741,3534,3549,3,766,3/3/2024,1212,2.093137
3865,741,3550,3563,3,766,3/4/2024,1126,1.906864
3866,741,3564,3576,3,766,3/5/2024,1152,2
3867,741,3577,3587,3,766,3/6/2024,1118,2.000001
3868,741,3588,3606,3,766,3/7/2024,1199,2
3869,741,3607,3620,3,766,3/10/2024,1078,2
3870,741,3621,3637,3,766,3/11/2024,1105,2.000001
3871,741,3638,3654,3,766,3/12/2024,1178,2.000001
3872,741,3655,3671,3,766,3/13/2024,1140,2.000001
3873,741,3672,3690,3,766,3/14/2024,1105,2.000002
3874,741,3691,3705,3,766,3/17/2024,1264,2.202505
3875,741,3706,3732,3,766,3/18/2024,933,1.797498
3876,741,3733,3759,3,766,3/20/2024,1113,2.000002
3877,741,3760,3788,3,766,3/21/2024,1041,1.999999
3878,741,3789,3839,3,766,3/24/2024,1161,1.999998
3879,741,3840,3890,3,766,3/25/2024,1134,1.999998
3880,741,3891,3941,3,766,3/26/2024,1076,1.999995
3881,741,3942,3986,3,766,3/27/2024,1117,1.999998
3882,741,3987,4012,3,766,3/28/2024,1212,2.000001
3883,741,4013,4058,3,766,4/15/2024,1302,2.235179
3884,741,4059,4068,3,766,4/16/2024,973,1.764823
3885,741,4069,4089,3,766,4/17/2024,1183,1.999999
3886,741,4090,4105,3,766,4/18/2024,1036,1.999997
3887,741,4106,4125,3,766,4/21/2024,1073,1.999999
3888,741,4126,4140,3,766,4/22/2024,1049,2.000002
3889,741,4141,4158,3,766,4/23/2024,1073,2
3890,741,4159,4173,3,766,4/24/2024,1044,2.000001
3891,741,4174,4191,3,766,4/25/2024,1022,1.999999
3892,741,4192,4210,3,766,4/28/2024,1017,2.000001
3893,741,4211,4218,3,766,4/29/2024,545,1
3894,741,3534,3548,3,766,4/29/2024,1155,2
3895,741,3549,3563,3,766,4/30/2024,1183,2.000001
3896,741,3564,3576,3,766,5/5/2024,1152,2
3897,741,3577,3587,3,766,5/7/2024,1118,2.000001
3898,741,3588,3606,3,766,5/8/2024,1199,2
3899,741,3607,3620,3,766,5/12/2024,1078,2
3900,741,3621,3637,3,766,5/13/2024,1105,2.000001
3901,741,3638,3654,3,766,5/14/2024,1178,2.000001
3902,741,3655,3671,3,766,5/19/2024,1140,2.000001
3903,741,3672,3690,3,766,5/20/2024,1105,2.000002
3904,741,3691,3705,3,766,5/21/2024,1264,2.202505
3905,741,3706,3732,3,766,5/22/2024,933,1.797498
3906,741,3733,3759,3,766,5/23/2024,1113,2.000002
4093,745,5623,5646,2,766,11/29/2023,359,0.685826
4094,745,6231,6179,3,766,11/29/2023,1226,4.000002
4095,745,5575,5591,2,766,12/3/2023,278,0.511972
4096,745,5713,5738,3,766,12/3/2023,424,0.766225
4097,745,5496,5518,2,766,12/5/2023,298,0.509074
4098,745,5575,5591,4,766,12/5/2023,278,0.511972
4099,745,5739,5758,3,766,12/5/2023,380,0.708952
4100,745,5519,5526,2,766,12/6/2023,341,0.549115
4101,745,5496,5518,4,766,12/6/2023,298,0.509074
4102,745,5673,5692,3,766,12/6/2023,349,0.672449
4103,745,5527,5547,2,766,12/10/2023,331,0.555243
4104,745,5519,5526,4,766,12/10/2023,341,0.549115
4105,745,5693,5712,3,766,12/10/2023,466,0.852377
4106,745,5527,5547,4,766,12/11/2023,331,0.555243
4107,745,5548,5484,2,766,12/11/2023,306,0.562216
4108,745,5623,5650,3,766,12/11/2023,442,0.828683
4109,745,5485,5493,2,766,12/12/2023,291,0.534925
4110,745,5548,5484,4,766,12/12/2023,306,0.562216
4111,745,5651,5672,3,766,12/12/2023,418,0.719449
4112,745,5494,5495,2,766,12/13/2023,360,0.625206
4113,745,5485,5493,4,766,12/13/2023,291,0.534925
4114,745,5592,5609,3,766,12/13/2023,630,1.017375
4115,745,5448,5454,2,766,12/18/2023,280,0.514707
4116,745,5494,5495,4,766,12/18/2023,360,0.625206
4117,745,5610,5622,3,766,12/18/2023,476,0.821238
4118,745,5455,5461,2,766,12/19/2023,313,0.569198
4119,745,5448,5454,4,766,12/19/2023,280,0.514707
4120,745,5552,5591,3,766,12/19/2023,695,1.277482
4121,745,5462,5470,2,766,12/20/2023,331,0.566781
4122,745,5455,5461,4,766,12/20/2023,313,0.569198
4123,745,5496,5526,3,766,12/20/2023,639,1.058189
4124,745,5471,5421,2,766,12/24/2023,296,0.520957
4125,745,5462,5470,4,766,12/24/2023,331,0.566781
4126,745,5527,5551,3,766,12/24/2023,415,0.709371
4127,745,5471,5421,4,766,12/25/2023,296,0.520957
4128,745,5476,5495,3,766,12/25/2023,873,1.568219
4129,745,5422,5429,2,766,12/25/2023,287,0.535448
4130,745,5430,5439,2,766,12/26/2023,250,0.413224
4131,745,5422,5429,4,766,12/26/2023,287,0.535448
4132,745,5448,5460,3,766,12/26/2023,544,1.000001
4133,745,5440,5447,2,766,12/27/2023,355,0.586776
4134,745,5430,5439,4,766,12/27/2023,250,0.413224
4135,745,5461,5475,3,766,12/27/2023,584,1
4136,745,5376,5388,2,766,12/28/2023,272,0.505767
4137,745,5440,5447,4,766,12/28/2023,355,0.586776
4138,745,5420,5433,3,766,12/28/2023,478,0.870726
4139,745,5389,5406,2,766,12/31/2023,339,0.538949
4140,745,5376,5388,4,766,12/31/2023,272,0.505767
4141,745,5434,5447,3,766,12/31/2023,506,0.836364
4142,745,5407,5418,2,766,1/1/2024,335,0.563762
4143,745,5389,5406,4,766,1/1/2024,339,0.538949
4144,745,5376,5401,3,766,1/1/2024,476,0.830089
4145,745,5419,5332,2,766,1/3/2024,281,0.502304
4146,745,5407,5418,4,766,1/3/2024,335,0.563762
4147,745,5402,5419,3,766,1/3/2024,514,0.860479
4148,745,5333,5344,2,766,1/4/2024,327,0.510935
4149,745,5419,5332,4,766,1/4/2024,281,0.502304
4150,745,5324,5341,3,766,1/4/2024,488,0.812399
4151,745,5345,5360,2,766,1/14/2024,314,0.504165
4152,745,5333,5344,4,766,1/14/2024,327,0.510935
4153,745,5342,5375,3,766,1/14/2024,664,1.157026
4154,745,5361,5374,2,766,1/15/2024,257,0.500973
4155,745,5345,5360,4,766,1/15/2024,314,0.504165
4156,745,5272,5304,3,766,1/15/2024,721,1.242218
4157,745,5375,5284,2,766,1/17/2024,259,0.513297
4158,745,5361,5374,4,766,1/17/2024,257,0.500973
4159,745,5305,5323,3,766,1/17/2024,587,0.995853
4160,745,5285,5287,2,766,1/21/2024,63,0.125
4161,745,5375,5284,4,766,1/21/2024,259,0.513297
4162,745,5242,5253,3,766,1/21/2024,570,0.999998
4163,745,5288,5302,2,766,1/22/2024,338,0.517611
4164,745,5375,5284,4,766,1/22/2024,259,0.513297
4165,745,5254,5267,3,766,1/22/2024,597,0.999999
4166,745,5303,5314,2,766,1/23/2024,367,0.576421
4167,745,5288,5302,4,766,1/23/2024,338,0.517611
