student_id,abs_error_letters,error_letters,error_percentage
26972,8134.722755908968,8134.722755908968,349.4296716455742
15727,7418.625036239624,-7418.625036239624,-50.805540585122756
21010,5300.185012873676,-703.8657727473308,101.32068534034303
4052,5216.866316914558,-5216.866316914558,-46.935369472915504
13871,4945.628752963884,-708.5263850859222,117.71287525083171
21772,4777.366055876017,-4777.366055876017,-46.84399507403948
18468,4580.828304386139,-994.3396282196034,166.99051584478372
15254,4556.224658012388,-4556.224658012388,-32.523553844045885
15276,4311.096581071615,-4311.096581071615,-68.9003768750458
14943,3954.199495279789,-3025.461809027195,-16.445220574662624
14434,3851.43401316305,-532.4666622529425,55.71988960947032
13740,3793.979574099183,135.7064627558002,97.39238889592754
13849,3628.3128631286895,-390.1607478983126,828.082668061408
7750,3609.69720619917,3486.401267826558,188.61604572430284
22381,3566.427592839513,-1641.234702365738,-5.344311648220257
28164,3420.2336458563805,3420.2336458563805,208.9330266253134
16108,3399.5795918107033,-3399.5795918107033,-37.60596893595911
18100,3267.5297162788256,-1453.3960180878635,-7.782248349513679
9995,3260.814576148987,3260.814576148987,105.73328716436403
6803,3252.678146888502,-767.6942558931182,600.3491148898437
9988,3241.7019802331924,3241.7019802331924,237.1205877903502
20565,3225.2882011532793,-3225.2882011532793,-42.724707923609465
15637,3224.9820736199617,-472.23673931260873,23.25298101828061
15192,3157.2190212905407,3157.2190212905407,209.0076229650493
20667,3144.3075578014054,-899.8143476347128,178.6616317733169
15236,3098.14400250713,-1040.380098534127,31.84708382894867
14213,3096.6107787260644,-978.1510882102515,16.250812381716813
19509,3088.095643401146,3088.095643401146,1106.8443166312352
15438,3028.0260831713676,-3028.0260831713676,-52.0279395733912
14953,2967.044624030589,-843.2852720526537,29.159291132024855
17189,2829.62320522964,-1020.3056377321482,148.98363955018095
14099,2825.2004803235714,-1066.8743751278287,20.925128368748606
11046,2812.8319015949965,8.580988213419914,517.6085827555323
13939,2806.4843672811985,2281.6759364306936,71.0421765719693
13890,2731.2927730441093,431.26634521484357,63.97536285199995
13880,2730.035744277495,-156.88202334514648,46.85375890882732
20451,2710.821649517864,5.465294983237754,352.651449867616
14106,2689.7369809240095,-2634.119302567839,-22.02071825590644
23927,2682.579345872005,423.74160066246986,309.44074751338474
21148,2639.7175509134927,-812.1708360910416,257.1239009129321
3514,2609.9145505900183,17.509000388284523,466.22069644442894
19615,2609.1142817400396,2158.3324602507055,11782.785588877285
6853,2589.7429231107235,-933.5569598823787,25.470378641089507
8928,2532.789909183979,-1735.5158856272697,59.87482064299053
13802,2532.1003162562847,2190.899047344923,81.22766975377812
15005,2475.329838126898,-544.9584726393224,800.3590691849154
25325,2459.0006954073906,-2459.0006954073906,-68.97617658926762
11798,2423.6607345057573,168.0067086712175,768.0353650052368
11707,2409.866191625595,-1063.8593436479568,-2.5400331675363823
14267,2402.7052965826456,-261.98694352308826,22.059856716205957
14958,2390.737118466334,-422.64131139625175,31.55921291744522
13941,2382.5673210729246,-1173.7698576125222,-2.770506471155588
