student_id,abs_error_letters,error_letters,error_percentage
16394,3859.646032333374,-3859.646032333374,-77.6432515053988
6375,3514.972156824544,-3514.972156824544,-86.66104923137436
27248,3403.9264251729473,-3403.9264251729473,-92.57346818528549
21905,3193.918896124698,-3193.918896124698,-79.9518336589777
26622,3114.65761204809,-3114.65761204809,-82.7486081840619
4458,3106.092475016602,-3106.092475016602,-91.54413424746835
6350,2824.8056873660535,-1302.2123906444758,147.13562727366326
29048,2646.5375719908625,-2646.5375719908625,-85.98237725766285
26480,2618.3746629878874,-2618.3746629878874,-72.83378756572706
15307,2612.473131660372,-1241.5836590714753,486.9406996895665
21879,2596.9332186318934,-1379.3654830045998,214.37925343974334
7165,2596.2129780780524,-2596.2129780780524,-84.10148940971986
13253,2526.175101231783,-2526.175101231783,-91.0005439924994
9324,2513.0239599496126,-2513.0239599496126,-67.4858310267003
7033,2462.237951331772,-2462.237951331772,-88.72929554348727
30380,2327.026100535877,-2327.026100535877,-89.91600079350374
30377,2327.026100535877,-2327.026100535877,-89.91600079350374
12453,2312.291499451734,-2312.291499451734,-74.58702362151621
13597,2268.5164716430013,-2268.5164716430013,-60.56806608239218
20920,2265.2742358868322,-2265.2742358868322,-58.390933255199805
28614,2263.741704744287,-2263.741704744287,-89.1236891631609
13124,2259.9437408546605,-2259.9437408546605,-47.210021743360365
27410,2243.983682669699,-1374.1914065107703,30.912030463102226
22207,2230.2110715629533,-1814.7185251386836,73.40869596195999
9908,2219.4255382679403,-2219.4255382679403,-82.62939457438348
29552,2203.0194730473063,-1462.7820065580308,17.97269377265593
1188,2200.701968163252,-915.2035780102015,138.14943506051983
20901,2199.9383082147688,-2199.9383082147688,-80.96938933436763
8838,2140.150895196013,-1053.474232344888,338.9408544324133
25790,2083.8591014174744,-1583.3025434119627,-28.564623062250476
21465,2076.708111289268,-2076.708111289268,-60.11777758522245
9321,2073.723356254399,-2073.723356254399,-76.18381176540775
9391,2071.5537074916065,-2071.5537074916065,-70.55309319462992
9364,2071.5537074916065,-2071.5537074916065,-70.55309319462992
11189,2064.223942139319,-2064.223942139319,-50.01670589255712
20987,2031.407790678398,-1464.9865101589821,163.46214798989806
9320,2011.9070118386298,-2011.9070118386298,-68.39854048742964
4052,1973.0259804936748,-1143.5550254347424,39.7602614905857
25570,1966.9922530669717,-747.0231906045226,186.51193338756124
9479,1963.4198547499254,-913.0416228296235,193.0851288218834
13092,1959.4226777376607,-249.31389111559838,445.22591879547576
6336,1943.891733396798,-1943.891733396798,-53.778258441678695
23195,1937.191921763122,-555.381397716701,82.34921386604555
21132,1910.867518519517,-1910.867518519517,-61.7150143903883
25393,1897.403456300497,-1897.403456300497,-62.10813277579369
14430,1878.2177432775497,-1878.2177432775497,-47.96265942996808
22891,1874.2105869855734,-1758.8152699936184,-23.768588566622274
20101,1868.1507827416062,-1225.4050115123391,90.93345250325115
945,1859.1199356525071,-1109.2433423117868,900.9967458930083
15201,1848.5032522715628,-1727.064864847809,-38.85599922725779
9483,1829.1508183907717,-1773.7224914412946,-36.32180021039399
13335,1808.4812519662082,-1808.4812519662082,-54.962315803372974
6598,1773.4791691973805,-1773.4791691973805,-65.83070412759393
30387,1767.929798901081,-1767.929798901081,-66.0414568136377
29343,1749.996255052276,-1578.022355588153,50.276223741104836
7807,1727.9086680822074,-1727.9086680822074,-81.27510197940768
19193,1704.5189938694239,-1257.9374208115041,-15.810211819609178
13075,1674.1117495447397,1674.1117495447397,2536.532953855666
2516,1673.6261341602851,-1428.5448388438672,-32.55864509022441
14482,1657.1895361840725,-1136.7449465468526,1.1155375522570061
15338,1651.9150439240038,-1651.9150439240038,-49.75040839443847
18071,1640.947056722641,-1640.947056722641,-47.951849647989114
10544,1638.7741363147895,-708.0121419926485,168.95794204364793
20823,1637.9046782292426,-1637.9046782292426,-43.73271200222136
12382,1622.678674140945,-1622.678674140945,-74.1626450704271
17091,1598.5384316071868,-1598.5384316071868,-59.78079400176465
23761,1592.7317064677675,-1025.3742127691705,6.384738645287233
9366,1591.264830775559,-1591.264830775559,-62.06181087268171
15666,1570.579274667427,-370.6375778298825,137.39023147863185
13802,1560.6426689753478,-1392.9471085782754,-33.76863892378811
558,1554.1227239082966,-1412.3160101100802,-37.50485187441743
15917,1542.7682171836495,-1542.7682171836495,-50.3514431195708
2963,1518.3622698523104,-765.7765584655106,101.03560314524373
13135,1512.3333194125444,-572.8417818192393,305.90611344487013
26918,1510.6312460377812,-1007.9170474596322,120.63268844750792
569,1510.0339052702946,-1013.3047632841536,358.8971812626706
29342,1505.0261005358768,-1505.0261005358768,-85.22231599863403
30394,1505.0261005358768,-1505.0261005358768,-85.22231599863403
24535,1499.8432765603065,-1499.8432765603065,-46.87010239250958
21827,1498.1843333467841,1498.1843333467841,871.0374031085955
15270,1493.0173705667257,-201.93619506806135,93.69346844733704
11708,1484.9135949388146,1484.9135949388146,1499.912722160419
11710,1479.7635309398174,1479.7635309398174,1494.7106373129473
11709,1479.7635309398174,1479.7635309398174,1494.7106373129473
15984,1475.7677939198911,-1411.3417267315087,-39.64775729982266
6701,1474.3494178466499,-1474.3494178466499,-56.880764577417054
20232,1469.9382783683639,-1298.8237877401214,-31.895535205534333
21531,1462.3439673599428,-781.1870968234367,73.20661612456772
28944,1454.08930546185,-366.08192545408383,205.3380824365605
13569,1438.0757843583822,-1140.2918972551822,-21.32948504169158
554,1431.4479702860117,-1157.8848071694376,-2.7201953520425945
29447,1427.5894225742668,-1427.5894225742668,-68.86586698380448
16089,1414.082486777256,-1092.0798722095788,-13.279033432868445
7750,1413.2322276318446,-941.6791837597266,-2.515988197977876
13608,1409.8647670596838,-1409.8647670596838,-55.747914869896555
11854,1405.0091488858063,-1405.0091488858063,-41.224106124877125
15192,1404.2435832186602,-1324.9176728478633,-40.066756274763854
15584,1403.3649203106759,-1403.3649203106759,-83.78298031705529
15583,1403.3649203106759,-1403.3649203106759,-83.78298031705529
647,1401.6160168323133,-1277.4539021216333,-36.45157871098873
6437,1396.7067942291499,-1171.4777426749467,-26.924858422425633
12084,1395.0112829431891,-1395.0112829431891,-80.35779279626666
12082,1395.0112829431891,-1395.0112829431891,-80.35779279626666
16771,1392.1725099872176,-587.3844986859089,29.3863672010628
23754,1391.653284008801,-930.8195719674229,87.16720273845507
20860,1388.9186241906136,-463.57722830586135,332.8040378562549
28254,1381.121259760484,-334.1837764833123,313.3809386137294
27513,1380.6539029367268,-965.3231152072549,26.361027716824022
30628,1380.0547104626894,-1380.0547104626894,-47.457177113572534
10150,1357.7189374230802,-1357.7189374230802,-63.68287698982552
20255,1355.977152980864,-1355.977152980864,-46.45121962895746
29338,1350.996255052276,-1179.022355588153,51.3224161640653
16396,1350.6179215349257,-1350.6179215349257,-62.26915267565356
6416,1338.74168478325,-424.3117008118757,502.80960206053453
19859,1338.4830875878356,-820.4974908352431,21.07418076017228
15382,1337.05163800437,-1056.3217493435368,40.51047962677818
10721,1335.7824145771563,-1035.5057594545185,-18.562753013577392
16812,1327.2269369475543,1327.2269369475543,644.7949172292763
