student_id,abs_error_letters,error_letters,error_percentage
27371,31572.390936493874,-31572.390936493874,-86.98586879130998
17642,29996.857781738043,-29996.857781738043,-83.3037790045212
17634,27678.009731531143,-27678.009731531143,-76.86414432928197
9479,25784.413756340742,-25784.413756340742,-81.53042326411725
18711,21272.67085674405,-21272.67085674405,-86.41104418207836
17697,21122.461688756943,-21122.461688756943,-79.85807821836273
17372,20705.32318368554,-20705.32318368554,-93.88891844050941
6718,20088.175176739693,-20088.175176739693,-67.38058959762417
16980,19153.78713977337,-19153.78713977337,-90.07612462271149
15795,19121.134733359017,-19121.134733359017,-62.981981625158824
7914,18663.432345032692,-18663.432345032692,-96.30750990780066
16360,18575.936046510935,-18575.936046510935,-93.73264732319575
22380,17465.56669945187,-17465.56669945187,-57.11464998130489
22353,17048.323273047805,-17048.323273047805,-54.95483511621432
13612,16803.602656431496,-15530.292642392218,-18.066942952520666
10168,16411.827137872577,-15990.25891675055,-26.713005832719563
16352,15933.687162220478,-15933.687162220478,-66.55021392521724
17674,15706.536039471626,-15706.536039471626,-66.73976391379122
25431,15341.21875987947,-13890.136332139373,-41.76507521365521
21119,15095.30345274508,-13096.009292498231,1.1541312429002062
29847,14994.0982568264,-14994.0982568264,-78.38002225209829
17721,14935.722789645195,-14935.722789645195,-66.13408957512041
14103,14835.096045970917,-14835.096045970917,-74.85667598128427
7585,14799.656837701797,-14799.656837701797,-70.74743935035995
17658,14504.264416933058,-14504.264416933058,-58.2851694471893
18212,14500.687642965051,-14052.054708500704,-45.059716571977816
17970,14226.905450294415,-11047.206984470287,30.273007910225346
22357,14115.649196817325,-13880.276664798077,-46.05350144195604
16356,13983.425809562206,-13983.425809562206,-96.74433243089945
17507,13969.89639687538,-13969.89639687538,-59.47673874691494
28405,13963.497822523117,-13963.497822523117,-61.829161452900806
15392,13760.760839268565,-13760.760839268565,-90.0337662867611
8202,13672.177309870718,-13672.177309870718,-56.035810114638785
26972,13580.745365299284,-12398.960001148283,8.003169232876257
9321,13409.698048174381,-13409.698048174381,-55.543495705256895
29347,13357.449902772902,-13357.449902772902,-59.13515983164911
16355,13159.160027388483,-12207.79541394487,-39.57355040757086
23189,12990.524651920796,-9925.567046034335,-23.536877340670003
17556,12965.044074773788,-12965.044074773788,-59.25607746947554
18651,12715.936634004116,-12715.936634004116,-42.579789706869455
17519,12661.506261587141,-12661.506261587141,-58.887987821901966
20783,12645.92732143402,-12645.92732143402,-77.34039093287274
16363,12597.848941147327,-12597.848941147327,-81.21119963559318
10390,12399.692990195752,-8844.686539924143,-17.057938097173754
26988,12358.245193600655,-12358.245193600655,-57.31792848030938
6720,12348.521209041277,-12348.521209041277,-51.71801970340069
6726,11931.44781345129,-11931.44781345129,-52.484782613183086
13876,11543.122636101076,-10501.787110997098,-36.917806508125864
4645,11505.358271731931,-11253.117277424202,-41.64387678964851
27023,11345.198309560617,-11345.198309560617,-79.0043556404424
5154,11229.618933930993,-9185.24988358915,368.94904142515446
13497,11194.263592951826,-9769.603621595434,-26.23713866799179
22381,11194.21393033633,-11089.171094935675,-45.99308342182472
21147,10996.143788105912,-10094.532625761298,-40.07166716812286
17758,10955.148537635803,-10955.148537635803,-63.12177735969736
16342,10939.89446929097,-10939.89446929097,-44.93260988001243
20458,10920.613344073296,-10920.613344073296,-62.67929371562473
24014,10790.160406430563,-10090.926243066788,-39.6610067656346
8200,10787.516215205193,-10787.516215205193,-40.12009527079439
20708,10685.025930792093,-5576.243211954832,76.77972975341056
20705,10671.39609164851,-10671.39609164851,-51.652832847119655
18718,10629.821363151073,-10629.821363151073,-55.42516260359655
16963,10626.345096707342,-10626.345096707342,-53.393352912809476
10150,10534.945254400373,-10534.945254400373,-63.788839397439006
22187,10534.77754932642,-10534.77754932642,-91.47948549258787
13527,10484.088455069064,-7140.932639575005,261.8461735430683
13920,10480.782851185117,-9525.185714926036,-31.853517435404893
8244,10462.72289210558,-10462.72289210558,-66.5856454118739
15086,10300.697451030506,-7797.886234094115,204.77049457859164
10159,10280.599865309894,-10280.599865309894,-46.79198167700912
16713,10271.233733545989,-9914.838502135128,-36.53109121355294
21313,10182.145913004875,-7506.199663639069,56.65360189268548
8198,10074.191011965275,-10064.682053267956,-38.246434117075495
20753,10043.737306123972,-8587.917505413294,-27.803554953811236
20829,10034.530771952868,-8586.71097124219,-27.852185953004067
11649,9994.903727203608,-9172.604371368885,-28.006878373241435
28716,9933.341041766107,-9933.341041766107,-41.454077815235706
18207,9890.73451336225,-9890.73451336225,-40.91871595022416
26985,9818.619731879233,-9818.619731879233,-46.15916818574358
3902,9795.067649160344,-9002.470525263105,-35.289197758640476
18215,9677.75872477889,-7076.817538418939,-1.1532312608976392
20573,9645.765846109389,-7353.50307536125,-1.0974522546657794
20255,9548.801295787098,-3807.7310812771316,102.80478585040969
22818,9455.416829665503,-6913.229919830958,-12.44626772627116
20730,9393.219932639598,-7725.452730214596,-3.4607996300312083
14114,9318.391614686698,-8132.766235318034,-32.81150935666774
13474,9172.282798141241,-7060.019076019525,-24.360754011804595
17727,9161.015962123869,-9161.015962123869,-40.5605726649189
13551,9127.71889136897,-9127.71889136897,-39.97884061978431
13515,9114.105232584476,-8723.380740535258,-32.673785770996886
21132,9089.47051692009,-6018.202985000609,-15.55437736999624
13629,9083.56557816267,-6375.873888206482,3.790086663459873
8211,9022.628316015005,-7180.867781370879,-17.672972687692464
11647,8996.084442198277,-8820.998417258263,-39.6378372717708
20584,8979.003624881307,-5422.2140943557015,74.55889360151575
8191,8966.989366841317,-6780.089969563483,-18.69992398928435
28402,8966.513867139814,-8966.513867139814,-40.287874911600795
18725,8938.82605648041,8938.82605648041,198.55233355131963
7748,8938.37964814239,-6422.3864106072315,15.282861202095937
14473,8912.933245301245,-8567.509924445832,-36.33158199896497
14167,8855.120391358028,-6731.493600964545,-13.641440297890624
14128,8824.771671378612,-7057.974512767791,-23.613098801496758
9137,8774.919845962524,-7796.774953047434,-31.205610469059685
13944,8745.088001016526,-7306.790292415766,-28.261784666490342
11646,8721.638188898563,-8650.98933092753,-36.29576859022581
11645,8721.638188898563,-8650.98933092753,-36.29576859022581
3387,8556.356937346003,-8244.398266797973,-34.42155573668215
20716,8525.26325714588,-8525.26325714588,-42.91501440580781
17502,8483.9039978981,-8483.9039978981,-35.69314652656023
12246,8460.840556234121,-4906.691438406706,1103.381426302849
17809,8459.52594880263,-8459.52594880263,-47.834994593665705
20390,8402.832740068434,-8402.832740068434,-37.68424925291103
13599,8287.168358659745,-7033.690808916092,-22.867001367530197
20652,8267.884992323816,-8153.685708664357,-40.25135034272284
